DATE,DEXBZUS
2016-01-08,4.0480
2016-01-11,4.0464
2016-01-12,4.0454
2016-01-13,3.9893
2016-01-14,4.0032
2016-01-15,4.0480
2016-01-18,.
2016-01-19,4.0420
2016-01-20,4.1103
2016-01-21,4.1299
2016-01-22,4.1061
2016-01-25,4.0887
2016-01-26,4.0701
2016-01-27,4.0557
2016-01-28,4.0979
2016-01-29,4.0364
2016-02-01,3.9866
2016-02-02,3.9885
2016-02-03,3.9478
2016-02-04,3.8785
2016-02-05,3.9101
2016-02-08,3.8979
2016-02-09,3.8863
2016-02-10,3.9366
2016-02-11,3.9704
2016-02-12,3.9764
2016-02-15,.
2016-02-16,4.0564
2016-02-17,3.9856
2016-02-18,4.0191
2016-02-19,4.0428
2016-02-22,3.9330
2016-02-23,3.9740
2016-02-24,3.9774
2016-02-25,3.9290
2016-02-26,4.0120
2016-02-29,3.9793
2016-03-01,3.9475
2016-03-02,3.8948
2016-03-03,3.8246
2016-03-04,3.7280
2016-03-07,3.7745
2016-03-08,3.7721
2016-03-09,3.6902
2016-03-10,3.6698
2016-03-11,3.6166
2016-03-14,3.6265
2016-03-15,3.7298
2016-03-16,3.7998
2016-03-17,3.6201
2016-03-18,3.6050
2016-03-21,3.6064
2016-03-22,3.5921
2016-03-23,3.6735
2016-03-24,3.7043
2016-03-25,3.7028
2016-03-28,3.6390
2016-03-29,3.6726
2016-03-30,3.6145
2016-03-31,3.5500
2016-04-01,3.5410
2016-04-04,3.5994
2016-04-05,3.6659
2016-04-06,3.6538
2016-04-07,3.7106
2016-04-08,3.6288
2016-04-11,3.5160
2016-04-12,3.5520
2016-04-13,3.5606
2016-04-14,3.5035
2016-04-15,3.5362
2016-04-18,3.5977
2016-04-19,3.5420
2016-04-20,3.5444
2016-04-21,3.5444
2016-04-22,3.5864
2016-04-25,3.5482
2016-04-26,3.5269
2016-04-27,3.5375
2016-04-28,3.4824
2016-04-29,3.4547
2016-05-02,3.5050
2016-05-03,3.5652
2016-05-04,3.5339
2016-05-05,3.5260
2016-05-06,3.5255
2016-05-09,3.5560
2016-05-10,3.4742
2016-05-11,3.4594
2016-05-12,3.4942
2016-05-13,3.5075
2016-05-16,3.5034
2016-05-17,3.4942
2016-05-18,3.5268
2016-05-19,3.6051
2016-05-20,3.5386
2016-05-23,3.5753
2016-05-24,3.5518
2016-05-25,3.6072
2016-05-26,3.5775
2016-05-27,3.6122
2016-05-30,.
2016-05-31,3.6074
2016-06-01,3.6030
2016-06-02,3.5978
2016-06-03,3.5332
2016-06-06,3.5094
2016-06-07,3.4604
2016-06-08,3.3770
2016-06-09,3.3934
2016-06-10,3.4298
2016-06-13,3.4599
2016-06-14,3.4959
2016-06-15,3.4715
2016-06-16,3.4952
2016-06-17,3.4301
2016-06-20,3.3937
2016-06-21,3.4038
2016-06-22,3.3794
2016-06-23,3.3440
2016-06-24,3.3895
2016-06-27,3.4025
2016-06-28,3.3074
2016-06-29,3.2386
2016-06-30,3.2003
2016-07-01,3.2448
2016-07-04,.
2016-07-05,3.2964
2016-07-06,3.3217
2016-07-07,3.3436
2016-07-08,3.2835
2016-07-11,3.3095
2016-07-12,3.2740
2016-07-13,3.2895
2016-07-14,3.2350
2016-07-15,3.2731
2016-07-18,3.2523
2016-07-19,3.2754
2016-07-20,3.2468
2016-07-21,3.2692
2016-07-22,3.2856
2016-07-25,3.2870
2016-07-26,3.2770
2016-07-27,3.2867
2016-07-28,3.2737
2016-07-29,3.2380
2016-08-01,3.2650
2016-08-02,3.2521
2016-08-03,3.2595
2016-08-04,3.2000
2016-08-05,3.1873
2016-08-08,3.1841
2016-08-09,3.1325
2016-08-10,3.1292
2016-08-11,3.1369
2016-08-12,3.1648
2016-08-15,3.1717
2016-08-16,3.1782
2016-08-17,3.2273
2016-08-18,3.2290
2016-08-19,3.2219
2016-08-22,3.2209
2016-08-23,3.2196
2016-08-24,3.2360
2016-08-25,3.2291
2016-08-26,3.2085
2016-08-29,3.2436
2016-08-30,3.2525
2016-08-31,3.2470
2016-09-01,3.2460
2016-09-02,3.2480
2016-09-05,.
2016-09-06,3.2217
2016-09-07,3.2223
2016-09-08,3.1962
2016-09-09,3.2687
2016-09-12,3.2762
2016-09-13,3.3144
2016-09-14,3.3196
2016-09-15,3.3274
2016-09-16,3.2923
2016-09-19,3.2565
2016-09-20,3.2633
